Half Light Radius (pc),Sigma Line of Sight (km/s),Dynamical Mass,log10(Stellar Mass),Mdyn / L,Stellar Mass
2.83491283,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
7.147003885,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
3.144415798,nan,nan,nan,nan,nan
12.1796514,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
0.2504914401,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
2.201420795,nan,nan,6.893029996,nan,7816817.922
7.55895275,nan,nan,6.449829996,nan,2817279.895
3.848561865,nan,nan,6.281029996,nan,1909985.174
3.592724993,10.5,4.964233131,6.232229996,0.1079029034,1706986.145
2.331504575,nan,nan,6.229029996,nan,1694454.83
2.147603538,nan,nan,6.174629996,nan,1494961.458
2.755843555,nan,nan,6.157029996,nan,1435588.584
0.293200354,nan,nan,6.153029996,nan,1422427.028
5.462568334,nan,nan,6.117029996,nan,1309272.349
2.458133148,nan,nan,6.058229996,nan,1143483.747
2.599058796,nan,nan,6.057029996,nan,1140328.545
4.779683604,8.6,4.914826609,6.041029996,0.1495638406,1099081.749
5.517644024,nan,nan,6.037029996,nan,1089005.307
10.9763196,nan,nan,5.993029996,nan,984079.0721
19.81603873,4.61,4.990849251,5.986629996,0.2019525079,969683.4782
4.037053387,nan,nan,5.959429996,nan,910814.6261
2.02506736,13.5,4.933537568,5.904629996,0.2137654767,802841.837
9.325514746,nan,nan,5.881029996,nan,760378.7932
4.519831008,nan,nan,5.875429996,nan,750637.0491
1.770573437,nan,nan,5.866229996,nan,734902.959
3.061742246,8.2,4.680026889,5.853029996,0.1342848099,712902.2674
9.240828745,nan,nan,5.852629996,nan,712245.9624
nan,9.2,nan,5.837029996,nan,687115.8963
1.289700317,nan,nan,5.825829996,nan,669622.4353
1.319741297,nan,nan,5.797829996,nan,627812.5543
3.155509337,nan,nan,5.791829996,nan,619198.6431
1.846551021,nan,nan,5.787029996,nan,612392.6872
5.230676279,nan,nan,5.786229996,nan,611265.6565
3.538162361,nan,nan,5.747429996,nan,559023.4112
11.92096634,nan,nan,5.729029996,nan,535833.6654
3.035129368,nan,nan,5.725029996,nan,530921.1128
5.47502719,nan,nan,5.723029996,nan,528481.7519
6.458138629,nan,nan,5.711429996,nan,514552.8595
3.404269686,nan,nan,5.704229996,nan,506092.6103
3.277315252,nan,nan,5.696229996,nan,496855.3791
2.356399801,nan,nan,5.679429996,nan,478002.3107
3.47497747,nan,nan,5.673829996,nan,471878.289
3.180929992,7.8,4.653173874,5.667029996,0.1937197383,464547.3596
3.213493229,nan,nan,5.649429996,nan,446097.7122
4.006902634,nan,nan,5.638229996,nan,434740.3954
3.524042454,nan,nan,5.636629996,nan,433141.6993
11.18979156,nan,nan,5.627029996,nan,423672.2274
2.710865129,nan,nan,5.621029996,nan,417859.2265
6.150971536,nan,nan,5.613029996,nan,410232.4361
20.4140807,3.51,4.766974618,5.602629996,0.291994464,400525.3384
0.5418478664,nan,nan,5.597029996,nan,395393.9283
2.209146761,nan,nan,5.597029996,nan,395393.9283
nan,nan,nan,5.593029996,nan,391768.935
nan,8.7,nan,5.593029996,nan,391768.935
1.738185495,nan,nan,5.583829996,nan,383557.0732
1.839359699,nan,nan,5.572229996,nan,373447.878
4.796289363,nan,nan,5.565029996,nan,367307.669
nan,6.6,nan,5.545029996,nan,350776.1006
4.795861876,nan,nan,5.544629996,nan,350453.1726
2.851077782,nan,nan,5.542629996,nan,348842.9866
4.614119167,nan,nan,5.533029996,nan,341216.4781
3.103957938,nan,nan,5.528229996,nan,337465.9784
2.2801496,nan,nan,5.527829996,nan,337155.3038
1.924447604,nan,nan,5.513829996,nan,326460.0148
2.027402462,nan,nan,5.511829996,nan,324960.0673
12.81545914,nan,nan,5.505829996,nan,320501.448
4.172419067,nan,nan,5.481429996,nan,302991.1866
2.727749976,nan,nan,5.479029996,nan,301321.4135
3.039816527,nan,nan,5.477029996,nan,299936.9673
3.351557575,nan,nan,5.474629996,nan,298284.0258
3.15230781,nan,nan,5.470229996,nan,295277.2558
6.502209764,nan,nan,5.461029996,nan,289087.9544
nan,4.9,nan,5.461029996,nan,289087.9544
3.119894371,nan,nan,5.455029996,nan,285121.5189
2.166825686,nan,nan,5.445029996,nan,278631.3608
1.608286224,nan,nan,5.444629996,nan,278374.85
20.40810022,nan,nan,5.443429996,nan,277606.7335
nan,6.8,nan,5.433029996,nan,271037.8827
4.549837498,nan,nan,5.413029996,nan,258839.1685
nan,6,nan,5.409029996,nan,256466.1167
4.916294367,6.5,4.683895149,5.393029996,0.3907465468,247189.4869
3.147008033,nan,nan,5.387829996,nan,244247.4262
5.60308198,nan,nan,5.385029996,nan,242677.7703
nan,7.8,nan,5.385029996,nan,242677.7703
nan,6.8,nan,5.385029996,nan,242677.7703
nan,5.3,nan,5.377029996,nan,238248.4018
3.261160852,nan,nan,5.376229996,nan,237809.936
2.867635962,4.9,4.204346736,5.375829996,0.1347555732,237591.0058
nan,6.1,nan,5.369029996,nan,233899.8784
3.129998575,nan,nan,5.362229996,nan,230266.095
4.093612696,nan,nan,5.361029996,nan,229630.7245
nan,nan,nan,5.360629996,nan,229419.3241
2.15610283,nan,nan,5.357029996,nan,227525.4573
2.753302764,nan,nan,5.355029996,nan,226480.0728
2.163801294,nan,nan,5.354229996,nan,226063.2651
3.243657794,nan,nan,5.350629996,nan,224197.1027
0.7958307958,nan,nan,5.349029996,nan,223372.6497
2.992417288,nan,nan,5.342629996,nan,220105.0445
3.68177984,nan,nan,5.341029996,nan,219295.6394
2.972707596,4,4.043702733,5.329429996,0.1035863982,213515.7892
2.092892014,nan,nan,5.326229996,nan,211948.3285
4.605279066,nan,nan,5.317429996,nan,207696.8912
nan,6.8,nan,5.313029996,nan,205603.2598
0.6252000177,nan,nan,5.313029996,nan,205603.2598
8.351248537,nan,nan,5.305029996,nan,201850.5774
2.587229949,nan,nan,5.302229996,nan,200553.3848
6.909053299,5.41,4.672243631,5.299029996,0.4723279336,199081.0836
2.934840245,nan,nan,5.290229996,nan,195087.7482
5.765747137,nan,nan,5.282629996,nan,191703.4797
4.604874815,4,4.233768368,5.273429996,0.1825443383,187685.1864
1.889711672,nan,nan,5.273029996,nan,187512.4015
4.796656635,nan,nan,5.269029996,nan,185793.2775
16.773781,nan,nan,5.265829996,nan,184429.3332
2.407737106,nan,nan,5.255829996,nan,180231.209
2.971936144,5.1,4.254610383,5.253829996,0.2003597046,179403.1218
nan,nan,nan,5.250629996,nan,178086.0889
2.295027177,nan,nan,5.246629996,nan,176453.3858
3.631642288,nan,nan,5.243829996,nan,175319.4082
2.482629885,nan,nan,5.243029996,nan,174996.7552
4.549837498,nan,nan,5.241029996,nan,174192.7181
1.468642608,nan,nan,5.236629996,nan,172436.8163
4.033274823,nan,nan,5.236229996,nan,172278.0693
4.346200064,nan,nan,5.234229996,nan,171486.5235
16.98345613,nan,nan,5.225029996,nan,167891.9974
nan,nan,nan,5.221029996,nan,166352.7543
1.690700444,nan,nan,5.219029996,nan,165588.4329
12.44321642,nan,nan,5.217829996,nan,165131.5267
nan,6.1,nan,5.217029996,nan,164827.6231
2.219239683,nan,nan,5.203829996,nan,159893.2006
1.825266525,nan,nan,5.203029996,nan,159598.9376
1.848585209,nan,nan,5.201429996,nan,159012.0351
1.774727709,nan,nan,5.197029996,nan,157409.1581
2.002932121,nan,nan,5.193029996,nan,155966.0222
2.510209073,nan,nan,5.190229996,nan,154963.7067
3.483443648,nan,nan,5.184629996,nan,152978.3583
1.703134621,nan,nan,5.177429996,nan,150463.0968
2.533747551,5.5,4.250919278,5.175429996,0.2379683929,149771.7816
5.16841508,nan,nan,5.172229996,nan,148672.278
0.8658781161,nan,nan,5.161029996,nan,144887.1921
4.162702017,nan,nan,5.157029996,nan,143558.8584
3.267291121,nan,nan,5.153429996,nan,142373.7736
7.629084116,nan,nan,5.150229996,nan,141328.5802
9.582105854,nan,nan,5.144629996,nan,139517.921
0.6643848595,nan,nan,5.137029996,nan,137097.6454
2.692869519,nan,nan,5.137029996,nan,137097.6454
10.27466625,nan,nan,5.133429996,nan,135965.8982
5.139703867,nan,nan,5.132229996,nan,135590.7291
4.448805838,nan,nan,5.131429996,nan,135341.1916
2.445198669,nan,nan,5.129029996,nan,134595.3314
1.103538224,nan,nan,5.125029996,nan,133361.3539
3.196861248,nan,nan,5.121029996,nan,132138.6897
4.616666014,4.6,4.356274678,5.109029996,0.3534066177,128537.5436
2.163801294,nan,nan,5.107429996,nan,128064.865
9.690268876,nan,nan,5.101029996,nan,126191.469
2.151558746,5.2,4.131190453,5.095829996,0.2169653857,124689.5323
3.291897552,nan,nan,5.093029996,nan,123888.2151
0.4663871705,nan,nan,5.093029996,nan,123888.2151
nan,nan,nan,5.092629996,nan,123774.1624
2.366213734,nan,nan,5.091429996,nan,123432.6338
2.27535464,nan,nan,5.089029996,nan,122752.4011
13.51962292,nan,nan,5.089029996,nan,122752.4011
2.555483485,4.3,4.040840547,5.085429996,0.1804847643,121739.0746
nan,nan,nan,5.077029996,nan,119407.0574
2.948859989,nan,nan,5.076629996,nan,119297.1301
2.390187564,nan,nan,5.075829996,nan,119077.5789
1.96346949,nan,nan,5.073429996,nan,118421.3468
1.057538341,5.1,3.805867031,5.068229996,0.1093117962,117011.8905
2.173164554,nan,nan,5.066629996,nan,116581.5959
2.720052002,nan,nan,5.049829996,nan,112157.9328
2.10519769,nan,nan,5.045029996,nan,110925.1427
nan,4.6,nan,5.041029996,nan,109908.1749
2.503681441,nan,nan,5.039829996,nan,109604.9065
3.446546216,nan,nan,5.039429996,nan,109504.0031
7.553784262,nan,nan,5.025029996,nan,105932.6889
4.728070583,4.1,4.266682222,5.015029996,0.3570115131,103521.3665
nan,nan,nan,5.013029996,nan,103045.729
1.937338028,nan,nan,5.011429996,nan,102666.793
4.120453742,nan,nan,5.008629996,nan,102007.0049
nan,nan,nan,5.003429996,nan,100792.9128
6.146144217,nan,nan,5.001029996,nan,100237.4468
1.475338743,nan,nan,4.993029996,nan,98407.90721
2.08714782,nan,nan,4.989429996,nan,97595.54553
3.906384954,nan,nan,4.980229996,nan,95549.84701
nan,nan,nan,4.963429996,nan,91924.229
2.865135923,nan,nan,4.961429996,nan,91501.87554
2.300792047,nan,nan,4.961029996,nan,91417.63799
9.735815887,nan,nan,4.953029996,nan,89749.07806
nan,2.5,nan,4.953029996,nan,89749.07806
nan,2.5,nan,4.951029996,nan,89336.7185
2.991369441,nan,nan,4.950229996,nan,89172.30566
4.110192426,nan,nan,4.942629996,nan,87625.39647
13.81285386,nan,nan,4.937029996,nan,86502.76627
5.829495619,nan,nan,4.936229996,nan,86343.56896
nan,6.8,nan,4.933029996,nan,85709.70415
4.26353375,nan,nan,4.925429996,nan,84222.86215
nan,nan,nan,4.925029996,nan,84145.32574
3.367424377,nan,nan,4.922629996,nan,83681.60398
9.566570682,nan,nan,4.919829996,nan,83143.8242
3.205837341,nan,nan,4.913829996,nan,82003.04816
2.019547875,nan,nan,4.913829996,nan,82003.04816
nan,nan,nan,4.913029996,nan,81852.13201
nan,nan,nan,4.909029996,nan,81101.70715
7.397091246,nan,nan,4.901029996,nan,79621.43417
21.91614504,nan,nan,4.901029996,nan,79621.43417
6.17428039,nan,nan,4.893029996,nan,78168.17922
13.94832677,nan,nan,4.885029996,nan,76741.44916
3.31719481,2.3,3.610657207,4.881429996,0.107215409,76107.94506
3.092927252,nan,nan,4.874629996,nan,74925.55973
nan,nan,nan,4.873029996,nan,74650.03162
1.661733257,nan,nan,4.871429996,nan,74375.51672
10.88761788,nan,nan,4.868629996,nan,73897.54251
nan,nan,nan,4.861029996,nan,72615.61101
5.181130944,nan,nan,4.857429996,nan,72016.16589
2.3973206,nan,nan,4.853029996,nan,71290.22674
1.539855534,nan,nan,4.853029996,nan,71290.22674
