Half Light Radius (pc),Sigma Line of Sight (km/s),Dynamical Mass,log10(Stellar Mass),Mdyn / L,Stellar Mass
5.570284377,nan,nan,2.717029996,nan,521.2307104
4.003513473,nan,nan,2.233029996,nan,171.0133427
19.52018588,2.04,4.276174841,4.353029996,1.67561732,22543.94914
4.786773135,nan,nan,2.313029996,nan,205.6032598
21.190701,nan,nan,3.073029996,nan,1183.123269
6.483150576,nan,nan,2.753029996,nan,566.2783996
5.000320278,nan,nan,2.313029996,nan,205.6032598
4.912075411,nan,nan,2.073029996,nan,118.3123269
9.981471539,nan,nan,2.833029996,nan,680.8163799
4.152581907,nan,nan,2.801029996,nan,632.4555325
6.022187847,nan,nan,2.873029996,nan,746.5003162
7.634915056,nan,nan,2.673029996,nan,471.0098571
1.31522066,nan,nan,2.113029996,nan,129.7268868
6.253608432,nan,nan,3.061029996,nan,1150.879876
7.379076059,nan,nan,3.553029996,nan,3572.975152
4.299081453,nan,nan,2.313029996,nan,205.6032598
5.255588577,nan,nan,2.113029996,nan,129.7268868
12.00098088,nan,nan,2.833029996,nan,680.8163799
2.08578004,nan,nan,1.953029996,nan,89.74907806
6.460991229,nan,nan,2.649029996,nan,445.6870302
3.350550912,nan,nan,2.601029996,nan,399.0524633
10.7795615,nan,nan,3.353029996,nan,2254.394914
5.220284413,nan,nan,2.393029996,nan,247.1894869
4.831575904,nan,nan,2.993029996,nan,984.0790721
33.90655861,1.7,4.357612113,4.317029996,2.195897745,20750.56833
1.868354903,1.2,2.796252426,2.257029996,6.922332018,180.7298949
5.881563242,nan,nan,2.633029996,nan,429.5660952
3.428387329,nan,nan,2.873029996,nan,746.5003162
3.497639631,nan,nan,2.421029996,nan,263.6513479
