Stellar Mass,Log Stellar Mass,Halo Mass,Sigma Line of Sight,Half Light Radius (pc),Dynamical Mass,Mdyn / L
15477517.65,7.189701308,3515184196,1.910302758,4559.534706,6.587555488,0.4999011959
15488004.96,7.189995479,6423865990,10.75603627,406.9786231,7.039306672,1.413647692
5757018.193,6.760197602,5174933048,9.023822866,441.5835733,6.92222459,2.904403716
29741.81566,4.473367478,411798636.1,5.564163521,132.763349,5.980308526,64.26448686
511.0408724,2.708455636,19262774.4,1.694011375,34.77460017,4.365525347,90.80289747
174804.8117,5.242553383,814127448.7,1.992524267,9918.199569,6.961670639,104.7483647
6426.918249,3.808002776,128692375.8,0.5698825257,5525.185767,5.620348123,129.8300855
372.0323458,2.570580701,5402612.96,1.149393444,104.6999812,4.507314593,172.8876169
490.0825735,2.69026926,4561909.956,1.102495985,155.3547444,4.642509111,179.1718784
385.7712492,2.586329857,7936160.111,1.026860274,179.9372028,4.644574228,228.7043191
190.1875419,2.279182065,3547728.553,1.554369892,39.57347816,4.346943531,233.771445
287.6573248,2.458875437,3042544.208,1.383231861,87.69090354,4.59117507,271.2249442
369.3467222,2.567434249,4036708.872,1.238491696,164.6025724,4.768653374,317.8696915
404.3923435,2.606802924,42995000.49,1.697657555,98.04563693,4.817559011,324.9272106
384.36981,2.584749269,15399543.93,1.347405029,161.8529013,4.834547374,355.4905829
283.3688242,2.452352068,13876365.47,2.119864616,52.80993387,4.741762433,389.4398242
329.7900955,2.518237608,17459361.61,1.376137551,161.5081143,4.851948595,431.2617911
458.9451248,2.661760761,28703049.41,1.230594583,337.4400518,5.074857184,517.7575241
379.88517,2.57965234,17122889.77,2.088845431,97.33563895,4.994515051,519.8675465
2200.120984,3.342446563,188452824.3,3.961945323,203.0549123,5.869861013,673.6657153
377.5913001,2.577021979,20387524.45,2.041437015,141.5896915,5.137334163,726.6782795
945.2373723,2.975540884,15734109.41,3.699386168,119.476375,5.579971931,804.37959
1944.737524,3.288860994,18103709.94,2.689756147,511.2967271,5.934529388,884.501125
357.1124535,2.552804995,7552029.373,1.766936228,237.9886635,5.237428578,967.5058021
721.9457456,2.858504561,82560466.51,1.415701534,753.9420193,5.545711911,973.2789828
540.9262478,2.733138056,6888617.478,2.263765708,229.6332803,5.437128341,1011.626695
362.1112448,2.558842011,20447574.67,2.155229965,178.7686058,5.285709044,1066.34326
604.6832583,2.781527945,15695029.11,2.349586691,277.7239703,5.55202687,1179.041037
364.5418147,2.561747351,2600269.611,2.584648993,180.4779695,5.447657898,1537.944072
579.1540468,2.762794095,47593131.21,3.01559375,219.0839955,5.665786879,1599.64193
19124.75,4.281595767,624199104.8,2.63946463,9758.014036,7.198823689,1652.943153
361.7405969,2.558397251,3006323.443,2.556889978,212.1120268,5.508419933,1782.594974
697.2963716,2.843417405,27988165.91,1.383199729,1968.995495,5.94244507,2512.219951
469.2896631,2.671440988,23090737.29,5.591754575,82.278687,5.776814114,2549.195372
538.5468882,2.731223521,22662760.36,2.825127463,423.0395616,5.894887635,2915.372882
1127.110772,3.051966601,100808106.3,1.619081222,2784.504942,6.229715822,3011.474688
12227.44198,4.087335611,353878774.3,3.553043927,8016.98503,7.371642784,3848.904797
19221.96052,4.283797681,934504299.5,4.636849409,9299.295115,7.667326571,4836.808419
394.7547929,2.596327412,41136303.37,1.198573434,3464.367698,6.063383833,5862.548073
359.53479,2.555740921,2505904.988,8.550156206,195.8405807,6.522281344,18516.99114
160.6038342,2.205755909,11359975.52,8.353605293,387.1934794,6.798106494,78231.30599
458.9451248,2.661760761,15782721.49,6.56077217,2586.550326,7.413061404,112805.5945
186.0657576,2.269666456,8589087.047,0,101.3951267,nan,nan
197.193085,2.294891681,6980122.567,0,224.6824022,nan,nan
166.7222689,2.221993612,7405239.959,0,92.00820214,nan,nan
196.4295568,2.293206837,7781745.273,0,147.2426854,nan,nan
156.8753988,2.195554843,7060189.52,0,332.9719932,nan,nan
193.6577113,2.287034795,5088064.217,0,226.92129,nan,nan
143.045689,2.155474774,4839284.756,0,595.3959573,nan,nan
194.4014978,2.288699607,4709652.547,0,60.50880659,nan,nan
173.1231434,2.238355129,3052075.988,0,35.22347924,nan,nan
192.9532273,2.285452047,3387594.647,0,101.3534901,nan,nan
194.9193727,2.289855005,3244617.946,0,54.61568038,nan,nan
2722.367265,3.434946714,411602281.4,0,5188.386617,nan,nan
180.3067222,2.256011918,2816641.019,0,593.2097374,nan,nan
200.9994166,2.303194797,2752778.093,0,60.5235176,nan,nan
176.9315528,2.247805289,2752778.093,0,499.2439815,nan,nan
